Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
20266,3.0,1,1,1
12839,3.0,1,1,1
18040,3.0,1,1,1
380684,3.0,1,1,1
20750,3.0,1,1,1
606496,3.0,1,1,1
12822,3.0,1,1,1
110834,3.0,1,1,1
227753,3.0,1,1,1
59095,3.0,1,1,1
235281,3.0,1,1,1
237759,3.0,1,1,1
11931,3.0,1,1,1
13003,3.0,1,1,1
14281,3.0,1,1,1
214084,3.0,1,1,1
12870,3.0,1,1,1
12840,3.0,1,1,1
18039,3.0,1,1,1
108015,3.0,1,1,1
12889,3.0,1,1,1
14645,3.0,1,1,1
18008,3.0,1,1,1
26379,2.0,1,1,0
20617,2.0,1,1,0
73844,2.0,1,0,1
14296,2.0,1,0,1
12236,2.0,1,0,1
74760,2.0,1,0,1
68267,2.0,1,1,0
11504,2.0,1,0,1
110524,2.0,1,1,0
234593,2.0,1,1,0
71687,2.0,1,1,0
69581,2.0,1,0,1
74194,2.0,1,0,1
13602,2.0,1,0,1
21856,2.0,1,0,1
27220,2.0,1,1,0
20516,2.0,1,1,0
76088,2.0,1,0,1
208691,2.0,1,0,1
14396,2.0,1,1,0
13829,2.0,1,1,0
56338,2.0,1,1,0
104174,2.0,1,0,1
212398,2.0,1,0,1
66237,2.0,1,1,0
18053,2.0,1,1,0
12810,2.0,1,0,1
66442,2.0,1,0,1
14807,2.0,1,1,0
216439,2.0,1,0,1
232333,2.0,1,1,0
12585,1.0,1,0,0
665180,1.0,1,0,0
80515,1.0,1,0,0
219134,1.0,1,0,0
330863,1.0,1,0,0
58998,1.0,1,0,0
76505,1.0,1,0,0
19777,1.0,1,0,0
238331,1.0,1,0,0
170823,1.0,1,0,0
54326,1.0,1,0,0
18196,1.0,1,0,0
57754,1.0,1,0,0
19661,1.0,1,0,0
22360,1.0,1,0,0
22771,1.0,1,0,0
406218,1.0,1,0,0
17476,1.0,1,0,0
20360,1.0,1,0,0
12575,1.0,1,0,0
170729,1.0,1,0,0
70744,1.0,1,0,0
246316,1.0,1,0,0
93834,1.0,1,0,0
23943,1.0,1,0,0
71780,1.0,1,0,0
11668,1.0,1,0,0
20502,1.0,1,0,0
71801,1.0,1,0,0
97165,1.0,1,0,0
16848,1.0,1,0,0
76900,1.0,1,0,0
29809,1.0,1,0,0
319352,1.0,1,0,0
16581,1.0,1,0,0
